ECCS_Clone_RowId,FacilityMnem_Source,Accommodation_Mnem_Source,Accommodation_Name_Source,PA_Code_Source,Active_Source,TargetMatchMtx,DB_RecordCount,FacilityMnem_Target,Accommodation_Mnem_Target,Accommodation_Name_Target,PA_Code_Target,Active_Target,DisplayCurrentValues,ExcludeFromSharepoint,Action To Take,Update_User,Update_Datetime,System_Update_User,System_Update_Datetime,ECCS_SourceServer,ECCS_SourceDatabase,ECCS_SourceProcedure,ECCS_ScopeKind,ECCS_ScopeValue,ECCS_SourceUser,ECCS_ClonedAtUtc
49,COCAG,EH,ER HOLD BEDS,EH,Y,NO MATCH,1,COCAG,PR,PRIVATE ROOM,PR,Y,Y,N,None,FRE8115,57:44.7,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
50,COCAG,HR,LD INTERMEDIATE CARE/HIGH RISK,HR,Y,NO MATCH,0,COCAG,L4,NEWBORAN LEVEL IV CARE,L4,Y,Y,N,None,FRE8115,57:44.8,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
51,COCAG,IC,INTENSIVE CARE,IC,Y,NO MATCH,33,COCAG,IC,INTENSIVE CARE,IC,Y,Y,N,None,FRE8115,57:44.9,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
52,COCAG,ICO,ICU OVERFLOW,I,Y,NO MATCH,6,COCAG,IC,INTENSIVE CARE,IC,Y,Y,N,None,FRE8115,57:45.1,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
53,COCAG,J,"PRIVATE, MEDICALLY JUSTIFIED",J,Y,NO MATCH,0,COCAG,PR,PRIVATE ROOM,PR,Y,Y,N,None,FRE8115,57:45.2,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
54,COCAG,J3E,JUSTIFIED 3 EAST PRIVATE ROOM,J3,Y,NO MATCH,0,COCAG,PR,PRIVATE ROOM,PR,Y,Y,N,None,FRE8115,57:45.3,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
55,COCAG,JL1,JUSTIFIED PSYCH LEVEL 1 P-ROOM,J1,Y,NO MATCH,0,COCAG,PR,PRIVATE ROOM,PR,Y,Y,N,None,FRE8115,57:45.4,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
56,COCAG,L,LABOR DELIVERY,LD,Y,NO MATCH,1,COCAG,LD,LABOR AND DELIVERY,LD,Y,Y,N,None,FRE8115,57:45.5,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
57,COCAG,L1,NEWBORN LEVEL I,L1,Y,NO MATCH,32,COCAG,L1,NEWBORN LEVEL I CARE,L1,Y,Y,N,None,FRE8115,57:45.6,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
58,COCAG,L2,NEWBORN LEVEL II,L2,Y,NO MATCH,18,COCAG,L2,NEWBORN LEVEL II CARE,L2,Y,Y,N,None,FRE8115,57:45.7,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
59,COCAG,L3,NEWBORN LEVEL III,L3,Y,NO MATCH,12,COCAG,L3,NEWBORN LEVEL III CARE,L3,Y,Y,N,None,FRE8115,57:45.8,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
